Province,Region,District,Tehsil,admin_unit,Gender,Age Group,Population Reporting,% of Total Population
Balochistan,Rural,Awaran,Awaran,SUB-DIVISION,Female,05 - 24,4360,51.4%
Balochistan,Rural,Awaran,Awaran,SUB-DIVISION,Male,05 - 24,4216,49.5%
Balochistan,Rural,Awaran,Awaran,SUB-DIVISION,Female,15 - 49,3387,39.9%
Balochistan,Rural,Awaran,Awaran,SUB-DIVISION,Male,15 - 49,3243,38.1%
Balochistan,Rural,Awaran,Awaran,SUB-DIVISION,Female,15 - 64,3789,44.7%
Balochistan,Rural,Awaran,Awaran,SUB-DIVISION,Male,15 - 64,3729,43.8%
Balochistan,Rural,Awaran,Awaran,SUB-DIVISION,Female,18 - 60,3199,37.7%
Balochistan,Rural,Awaran,Awaran,SUB-DIVISION,Male,18 - 60,3136,36.8%
Balochistan,Rural,Awaran,Awaran,SUB-DIVISION,Female,18 &  ABOVE,3428,40.4%
Balochistan,Rural,Awaran,Awaran,SUB-DIVISION,Male,18 &  ABOVE,3425,40.2%
Balochistan,Rural,Awaran,Awaran,SUB-DIVISION,Female,60 &  ABOVE,256,3%
Balochistan,Rural,Awaran,Awaran,SUB-DIVISION,Male,60 &  ABOVE,339,4%
Balochistan,Rural,Awaran,Awaran,SUB-DIVISION,Female,65 &  ABOVE,166,2%
Balochistan,Rural,Awaran,Awaran,SUB-DIVISION,Male,65 &  ABOVE,212,2.5%
Balochistan,Rural,Awaran,Awaran,SUB-DIVISION,Female,UNDER 1,174,2.1%
Balochistan,Rural,Awaran,Awaran,SUB-DIVISION,Male,UNDER 1,206,2.4%
Balochistan,Rural,Awaran,Awaran,SUB-DIVISION,Female,UNDER 10,3262,38.5%
Balochistan,Rural,Awaran,Awaran,SUB-DIVISION,Male,UNDER 10,3348,39.3%
Balochistan,Rural,Awaran,Awaran,SUB-DIVISION,Female,UNDER 15,4526,53.4%
Balochistan,Rural,Awaran,Awaran,SUB-DIVISION,Male,UNDER 15,4572,53.7%
Balochistan,Rural,Awaran,Awaran,SUB-DIVISION,Female,UNDER 5,1581,18.6%
Balochistan,Rural,Awaran,Awaran,SUB-DIVISION,Male,UNDER 5,1706,20%
Balochistan,Rural,Awaran,Gishkore,TEHSIL,Female,05 - 24,7412,48.3%
Balochistan,Rural,Awaran,Gishkore,TEHSIL,Male,05 - 24,7681,47.7%
Balochistan,Rural,Awaran,Gishkore,TEHSIL,Female,15 - 49,6746,43.9%
Balochistan,Rural,Awaran,Gishkore,TEHSIL,Male,15 - 49,6636,41.2%
Balochistan,Rural,Awaran,Gishkore,TEHSIL,Tgend,15 - 49,3,100%
Balochistan,Rural,Awaran,Gishkore,TEHSIL,Female,15 - 64,7677,50%
Balochistan,Rural,Awaran,Gishkore,TEHSIL,Male,15 - 64,7739,48.1%
Balochistan,Rural,Awaran,Gishkore,TEHSIL,Tgend,15 - 64,3,100%
Balochistan,Rural,Awaran,Gishkore,TEHSIL,Female,18 - 60,6439,41.9%
Balochistan,Rural,Awaran,Gishkore,TEHSIL,Male,18 - 60,6494,40.3%
Balochistan,Rural,Awaran,Gishkore,TEHSIL,Tgend,18 - 60,3,100%
Balochistan,Rural,Awaran,Gishkore,TEHSIL,Female,18 &  ABOVE,6943,45.2%
Balochistan,Rural,Awaran,Gishkore,TEHSIL,Male,18 &  ABOVE,7225,44.9%
Balochistan,Rural,Awaran,Gishkore,TEHSIL,Tgend,18 &  ABOVE,3,100%
