"PROVINCE","DIVISION","DISTRICT","TEHSIL","ADMIN_UNIT","DISAB_FUNC_LIM","ALL_SEXES_OVERALL","MALE_OVERALL","FEMALE_OVERALL","ALL_SEXES_RURAL","MALE_RURAL","FEMALE_RURAL","ALL_SEXES_URBAN","MALE_URBAN","FEMALE_URBAN"
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Population",45774,23192,22582,16994,8513,8481,28780,14679,14101
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Disability",1344,571,773,724,346,378,620,225,395
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Functional limitation",1684,773,911,823,405,418,861,368,493
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Seeing",304,165,139,129,66,63,175,99,76
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Hearing",218,108,110,98,50,48,120,58,62
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Walking/ Climbing",787,354,433,378,172,206,409,182,227
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Communication",213,105,108,92,50,42,121,55,66
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Memorization/ Focus",265,132,133,118,58,60,147,74,73
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Self care etc",195,87,108,104,56,48,91,31,60
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","Population",31462,16107,15355,31462,16107,15355,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","Disability",1235,506,729,1235,506,729,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","Functional limitation",1483,660,823,1483,660,823,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","Seeing",266,129,137,266,129,137,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","Hearing",175,91,84,175,91,84,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","Walking/ Climbing",651,299,352,651,299,352,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","Communication",217,86,131,217,86,131,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","Memorization/ Focus",238,103,135,238,103,135,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","Self care etc",173,73,100,173,73,100,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","Population",28132,14423,13709,28132,14423,13709,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","Disability",1439,688,751,1439,688,751,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","Functional limitation",1533,756,777,1533,756,777,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","Seeing",288,142,146,288,142,146,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","Hearing",290,145,145,290,145,145,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","Walking/ Climbing",351,189,162,351,189,162,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","Communication",252,124,128,252,124,128,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","Memorization/ Focus",260,124,136,260,124,136,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","Self care etc",246,120,126,246,120,126,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","Population",27652,14238,13414,27652,14238,13414,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","Disability",743,301,442,743,301,442,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","Functional limitation",856,381,475,856,381,475,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","Seeing",270,153,117,270,153,117,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","Hearing",164,65,99,164,65,99,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","Walking/ Climbing",347,150,197,347,150,197,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","Communication",217,109,108,217,109,108,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","Memorization/ Focus",167,95,72,167,95,72,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","Self care etc",91,26,65,91,26,65,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","Population",45938,23680,22258,27882,14247,13635,18056,9433,8623
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","Disability",1044,378,666,582,209,373,462,169,293
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","Functional limitation",1408,598,810,745,311,434,663,287,376
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","Seeing",278,128,150,123,54,69,155,74,81
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","Hearing",166,77,89,74,31,43,92,46,46
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","Walking/ Climbing",694,309,385,364,160,204,330,149,181
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","Communication",155,64,91,88,38,50,67,26,41
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","Memorization/ Focus",214,96,118,127,58,69,87,38,49
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","Self care etc",156,55,101,85,29,56,71,26,45
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","Population",210249,109632,100617,195824,102233,93591,14425,7399,7026
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","Disability",4442,2823,1619,4144,2607,1537,298,216,82
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","Functional limitation",20723,11572,9151,19110,10652,8458,1613,920,693
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","Seeing",5586,2947,2639,5199,2745,2454,387,202,185
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","Hearing",5570,2983,2587,5165,2778,2387,405,205,200
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","Walking/ Climbing",7197,3952,3245,6675,3668,3007,522,284,238
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","Communication",2508,1407,1101,2312,1306,1006,196,101,95
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","Memorization/ Focus",3479,1895,1584,3189,1736,1453,290,159,131
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","Self care etc",1852,1092,760,1678,983,695,174,109,65
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","Population",73326,36995,36331,73326,36995,36331,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","Disability",977,482,495,977,482,495,NA,NA,NA
