"PROVINCE","DIVISION","DISTRICT","TEHSIL","ADMIN_UNIT","LANGUAGE","ALL_SEXES_OVERALL","FEMALE_OVERALL","MALE_OVERALL","TGEND_OVERALL","ALL_SEXES_RURAL","FEMALE_RURAL","MALE_RURAL","TGEND_RURAL","ALL_SEXES_URBAN","FEMALE_URBAN","MALE_URBAN","TGEND_URBAN"
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","BALOCHI",1135,546,589,NA,1135,546,589,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","BALTI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","BRAHVI",48420,21465,26952,3,48420,21465,26952,3,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","HINDKO",29,14,15,NA,29,14,15,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","KALASHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","KASHMIRI",1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","KOHIOSTANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","MEWATI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","OTHERS",11,7,4,NA,11,7,4,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","PUNJABI",1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","PUSHTO",880,422,458,NA,880,422,458,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","SARAIKI",3,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","SHINA",17,7,10,NA,17,7,10,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","SINDHI",22,8,14,NA,22,8,14,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","TOTAL",50533,22475,28055,3,50533,22475,28055,3,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","URDU",14,5,9,NA,14,5,9,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","BALOCHI",22,15,7,NA,22,15,7,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","BALTI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","BRAHVI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","HINDKO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","KALASHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","KASHMIRI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","KOHIOSTANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","MEWATI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","OTHERS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","PUNJABI",1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","PUSHTO",25064,11538,13526,NA,25064,11538,13526,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","SARAIKI",1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","SHINA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","SINDHI",2,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","TOTAL",25094,11560,13534,NA,25094,11560,13534,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","URDU",4,3,1,NA,4,3,1,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","BALOCHI",45665,22529,23132,4,16967,8467,8500,NA,28698,14062,14632,4
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","BALTI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","BRAHVI",20,7,13,NA,7,2,5,NA,13,5,8,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","HINDKO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","KALASHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","KASHMIRI",22,12,10,NA,7,4,3,NA,15,8,7,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","KOHIOSTANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","MEWATI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","OTHERS",2,1,1,NA,NA,NA,NA,NA,2,1,1,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","PUNJABI",3,2,1,NA,NA,NA,NA,NA,3,2,1,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","PUSHTO",1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","SARAIKI",2,1,1,NA,NA,NA,NA,NA,2,1,1,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","SHINA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","SINDHI",23,10,13,NA,NA,NA,NA,NA,23,10,13,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","TOTAL",45774,22582,23188,4,16994,8481,8513,NA,28780,14101,14675,4
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","URDU",36,19,17,NA,12,7,5,NA,24,12,12,NA
"BALOCHISTAN","NASIRABAD","NASIRABAD","BABA KOT","TEHSIL","BALOCHI",23503,10686,12817,NA,23503,10686,12817,NA,NA,NA,NA,NA
