"PROVINCE","DIVISION","DISTRICT","TEHSIL","ADMIN_UNIT","VARS","ALL_SEXES_OVERALL","MALE_OVERALL","FEMALE_OVERALL","TGEND_OVERALL","ALL_SEXES_RURAL","MALE_RURAL","FEMALE_RURAL","TGEND_RURAL","ALL_SEXES_URBAN","MALE_URBAN","FEMALE_URBAN","TGEND_URBAN"
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Population >=5",36749,18419,18326,4,13707,6807,6900,NA,23042,11612,11426,4
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Population >=10",28195,14074,14117,4,10384,5165,5219,NA,17811,8909,8898,4
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Literate >=10",12097,7164,4930,3,3790,2302,1488,NA,8307,4862,3442,3
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Literate %",42.9,50.9,34.92,75,36.5,44.57,28.51,NA,46.64,54.57,38.68,75
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Ever Attended",16510,9334,7173,3,5732,3255,2477,NA,10778,6079,4696,3
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Primary Completed",1352,728,624,NA,412,230,182,NA,940,498,442,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Enrolment Primary",6021,2915,3106,NA,2498,1232,1266,NA,3523,1683,1840,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Enrolment Middle",2235,1189,1046,NA,713,393,320,NA,1522,796,726,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Enrolment Matric",984,514,469,1,297,171,126,NA,687,343,343,1
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Enrolment Intermidiate",746,398,346,2,256,147,109,NA,490,251,237,2
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Enrolment Graduation above",702,438,264,NA,288,177,111,NA,414,261,153,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Never to School (all)",20239,9085,11153,1,7975,3552,4423,NA,12264,5533,6730,1
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Drop Out (5 - 16)",716,362,354,NA,257,131,126,NA,459,231,228,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Never to School (5-16)",6943,3485,3457,1,2699,1256,1443,NA,4244,2229,2014,1
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Out of School Children (5-16)",7659,3847,3811,1,2956,1387,1569,NA,4703,2460,2242,1
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","Population >=5",26236,13419,12814,3,26236,13419,12814,3,NA,NA,NA,NA
