"PROVINCE","DIVISION","DISTRICT","TEHSIL","ADMIN_UNIT","REGION","HOUSEHOLDS","LIGHT_ELECT","LIGHT_SOLAR","LIGHT_OTHERS","FUEL_GAS","FUEL_LPGCNG","FUEL_FIREWOOD","FUEL_OTHERS","SEP_KITCHEN","NO_KITCHEN"
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","OVERALL",6471,2961,2214,1296,164,200,5990,117,6134,231
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","RURAL",2486,717,930,839,28,1,2390,67,2301,167
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","URBAN",3985,2244,1284,457,136,199,3600,50,3833,64
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","OVERALL",6191,29,4617,1545,51,4,5914,222,5525,644
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","RURAL",6191,29,4617,1545,51,4,5914,222,5525,644
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","OVERALL",3990,18,2984,988,27,2,3846,115,3191,132
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","RURAL",3990,18,2984,988,27,2,3846,115,3191,132
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","OVERALL",4256,47,2908,1301,33,2,4145,76,4150,92
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","RURAL",4256,47,2908,1301,33,2,4145,76,4150,92
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","OVERALL",6888,285,4472,2131,37,46,6504,301,5738,567
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","RURAL",4441,47,2753,1641,25,43,4152,221,3437,428
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","URBAN",2447,238,1719,490,12,3,2352,80,2301,139
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","OVERALL",23053,10589,9016,3448,97,54,21584,1318,6493,9883
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","RURAL",21582,9145,9001,3436,94,26,20154,1308,5568,9827
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","URBAN",1471,1444,15,12,3,28,1430,10,925,56
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","OVERALL",11064,1984,8139,941,91,1114,9179,680,7043,1018
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","RURAL",11064,1984,8139,941,91,1114,9179,680,7043,1018
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
