"PROVINCE","DIVISION","DISTRICT","TEHSIL","ADMIN_UNIT","REGION","HOUSEHOLDS","TOILET_SEPARATE","TOILET_FLUSH","TOILET_NON_FLUSH","TOILET_NONE","WASHROOM_SEPARATE","WASHROOM_NONE"
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","OVERALL",6471,4792,3615,1250,1606,6026,252
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","RURAL",2486,1123,952,180,1354,2262,208
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","URBAN",3985,3669,2663,1070,252,3764,44
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","OVERALL",6191,4799,2706,2096,1389,5650,507
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","RURAL",6191,4799,2706,2096,1389,5650,507
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","OVERALL",3990,2889,1809,1591,590,3422,100
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","RURAL",3990,2889,1809,1591,590,3422,100
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","OVERALL",4256,2603,1203,1408,1645,4148,83
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","RURAL",4256,2603,1203,1408,1645,4148,83
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","OVERALL",6888,5827,5099,1208,581,5959,530
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","RURAL",4441,3523,3095,895,451,3649,405
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","URBAN",2447,2304,2004,313,130,2310,125
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","OVERALL",23053,5340,6572,3771,12710,8576,7549
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","RURAL",21582,4362,5370,3511,12701,7543,7535
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","URBAN",1471,978,1202,260,9,1033,14
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","OVERALL",11064,6234,7114,1581,2369,8204,542
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","RURAL",11064,6234,7114,1581,2369,8204,542
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","OVERALL",17642,10833,11616,1455,4571,13084,2228
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","RURAL",15069,8839,9495,1028,4546,10998,2198
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","URBAN",2573,1994,2121,427,25,2086,30
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","OVERALL",3141,2085,2598,61,482,2483,61
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","RURAL",3141,2085,2598,61,482,2483,61
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","OVERALL",2694,2481,2470,215,9,2473,13
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","RURAL",2694,2481,2470,215,9,2473,13
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","OVERALL",3672,1460,1413,237,2022,2756,530
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","RURAL",3672,1460,1413,237,2022,2756,530
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
NA,NA,"CHAMAN","CHAMAN CITY","SUB-DIVISION","OVERALL",19105,12738,12243,6312,550,14224,547
NA,NA,"CHAMAN","CHAMAN CITY","SUB-DIVISION","RURAL",NA,NA,NA,NA,NA,NA,NA
NA,NA,"CHAMAN","CHAMAN CITY","SUB-DIVISION","URBAN",19105,12738,12243,6312,550,14224,547
"BALOCHISTAN","QUETTA","CHAMAN","CHAMAN SADDAR","SUB-DIVISION","OVERALL",42810,25576,27457,13148,2205,30419,1388
"BALOCHISTAN","QUETTA","CHAMAN","CHAMAN SADDAR","SUB-DIVISION","RURAL",42810,25576,27457,13148,2205,30419,1388
"BALOCHISTAN","QUETTA","CHAMAN","CHAMAN SADDAR","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","BAIKER","SUB-TEHSIL","OVERALL",4831,244,121,402,4308,653,3665
"BALOCHISTAN","SIBI","DERA BUGTI","BAIKER","SUB-TEHSIL","RURAL",4831,244,121,402,4308,653,3665
"BALOCHISTAN","SIBI","DERA BUGTI","BAIKER","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","DERA BUGTI","SUB-DIVISION","OVERALL",9607,3504,4558,1075,3974,3510,4082
"BALOCHISTAN","SIBI","DERA BUGTI","DERA BUGTI","SUB-DIVISION","RURAL",4178,680,328,679,3171,1239,2582
"BALOCHISTAN","SIBI","DERA BUGTI","DERA BUGTI","SUB-DIVISION","URBAN",5429,2824,4230,396,803,2271,1500
