"PROVINCE","DIVISION","DISTRICT","TEHSIL","ADMIN_UNIT","REGION","HOUSEHOLDS","DRINK_WTR_IMPROVE","DRINK_WTR_INSIDE","DRINK_WTR_OUTSIDE","DRINK_WTR_TAP","DRINK_WTR_MOTOR","DRINK_WTR_WELL","DRINK_WTR_FILTER","DRINK_WTR_BOTTLE","DRINK_WTR_OTHER"
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","OVERALL",6471,5178,2680,3791,1959,2275,1658,NA,8,571
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","RURAL",2486,1414,699,1787,430,724,1011,NA,1,320
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","URBAN",3985,3764,1981,2004,1529,1551,647,NA,7,251
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","OVERALL",6191,5397,1276,4915,2070,2178,1619,NA,3,321
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","RURAL",6191,5397,1276,4915,2070,2178,1619,NA,3,321
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","OVERALL",3990,2706,1622,2368,1137,1176,552,NA,3,1122
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","RURAL",3990,2706,1622,2368,1137,1176,552,NA,3,1122
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","OVERALL",4256,2571,591,3665,591,1160,1443,NA,1,1061
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","RURAL",4256,2571,591,3665,591,1160,1443,NA,1,1061
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","OVERALL",6888,4809,3064,3824,469,1381,3348,NA,12,1678
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","RURAL",4441,2770,1663,2778,396,658,2003,NA,4,1380
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","URBAN",2447,2039,1401,1046,73,723,1345,NA,8,298
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","OVERALL",23053,16148,2524,20529,2117,9014,9342,17,43,2520
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","RURAL",21582,14719,2161,19421,1145,8785,9111,1,41,2499
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","URBAN",1471,1429,363,1108,972,229,231,16,2,21
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","OVERALL",11064,9493,4803,6261,922,3734,4234,4,19,2151
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","RURAL",11064,9493,4803,6261,922,3734,4234,4,19,2151
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","OVERALL",17642,15651,7827,9815,6547,1484,5997,4,264,3346
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","RURAL",15069,13088,5336,9733,4075,1448,5997,4,228,3317
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","URBAN",2573,2563,2491,82,2472,36,NA,NA,36,29
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","OVERALL",3141,2849,1655,1486,1104,179,1395,NA,1,462
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","RURAL",3141,2849,1655,1486,1104,179,1395,NA,1,462
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","OVERALL",2694,2672,2066,628,1629,567,298,84,1,115
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","RURAL",2694,2672,2066,628,1629,567,298,84,1,115
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","OVERALL",3672,3180,722,2950,495,297,2449,NA,1,430
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","RURAL",3672,3180,722,2950,495,297,2449,NA,1,430
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"CHAMAN","CHAMAN CITY","SUB-DIVISION","OVERALL",19105,17244,12257,6848,11368,1272,1479,6,38,4942
NA,NA,"CHAMAN","CHAMAN CITY","SUB-DIVISION","RURAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"CHAMAN","CHAMAN CITY","SUB-DIVISION","URBAN",19105,17244,12257,6848,11368,1272,1479,6,38,4942
"BALOCHISTAN","QUETTA","CHAMAN","CHAMAN SADDAR","SUB-DIVISION","OVERALL",42810,29805,21788,21022,18266,2892,5476,12,65,16099
"BALOCHISTAN","QUETTA","CHAMAN","CHAMAN SADDAR","SUB-DIVISION","RURAL",42810,29805,21788,21022,18266,2892,5476,12,65,16099
"BALOCHISTAN","QUETTA","CHAMAN","CHAMAN SADDAR","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","BAIKER","SUB-TEHSIL","OVERALL",4831,2241,214,4617,301,1190,1354,1,4,1981
"BALOCHISTAN","SIBI","DERA BUGTI","BAIKER","SUB-TEHSIL","RURAL",4831,2241,214,4617,301,1190,1354,1,4,1981
"BALOCHISTAN","SIBI","DERA BUGTI","BAIKER","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","DERA BUGTI","SUB-DIVISION","OVERALL",9607,6263,4507,5100,4817,1222,289,NA,9,3270
"BALOCHISTAN","SIBI","DERA BUGTI","DERA BUGTI","SUB-DIVISION","RURAL",4178,1417,561,3617,628,575,283,NA,7,2685
"BALOCHISTAN","SIBI","DERA BUGTI","DERA BUGTI","SUB-DIVISION","URBAN",5429,4846,3946,1483,4189,647,6,NA,2,585
"BALOCHISTAN","SIBI","DERA BUGTI","LOTI","SUB-TEHSIL","OVERALL",4565,498,530,4035,227,39,2583,NA,17,1699
"BALOCHISTAN","SIBI","DERA BUGTI","LOTI","SUB-TEHSIL","RURAL",4565,498,530,4035,227,39,2583,NA,17,1699
"BALOCHISTAN","SIBI","DERA BUGTI","LOTI","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","MALAM","SUB-TEHSIL","OVERALL",4435,819,311,4124,111,47,1550,2,7,2718
"BALOCHISTAN","SIBI","DERA BUGTI","MALAM","SUB-TEHSIL","RURAL",4435,819,311,4124,111,47,1550,2,7,2718
"BALOCHISTAN","SIBI","DERA BUGTI","MALAM","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","PIR KOH","SUB-TEHSIL","OVERALL",8519,2298,1096,7423,301,580,571,NA,10,7057
"BALOCHISTAN","SIBI","DERA BUGTI","PIR KOH","SUB-TEHSIL","RURAL",8519,2298,1096,7423,301,580,571,NA,10,7057
"BALOCHISTAN","SIBI","DERA BUGTI","PIR KOH","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","QADIRABAD","SUB-DIVISION","OVERALL",3848,1932,823,3025,468,453,1037,NA,1,1889
"BALOCHISTAN","SIBI","DERA BUGTI","QADIRABAD","SUB-DIVISION","RURAL",3848,1932,823,3025,468,453,1037,NA,1,1889
"BALOCHISTAN","SIBI","DERA BUGTI","QADIRABAD","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","SANGSILLAH","SUB-TEHSIL","OVERALL",2494,781,28,2466,2,20,90,NA,17,2365
"BALOCHISTAN","SIBI","DERA BUGTI","SANGSILLAH","SUB-TEHSIL","RURAL",2494,781,28,2466,2,20,90,NA,17,2365
"BALOCHISTAN","SIBI","DERA BUGTI","SANGSILLAH","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","SUI","SUB-DIVISION","OVERALL",23968,18217,9048,14920,9560,3948,3677,2,65,6716
"BALOCHISTAN","SIBI","DERA BUGTI","SUI","SUB-DIVISION","RURAL",9569,4623,682,8887,1026,2103,3570,1,20,2849
"BALOCHISTAN","SIBI","DERA BUGTI","SUI","SUB-DIVISION","URBAN",14399,13594,8366,6033,8534,1845,107,1,45,3867
"BALOCHISTAN","LORALAI","DUKI","DUKI","SUB-DIVISION","OVERALL",26606,22111,15887,10719,10893,7248,2736,3,113,5613
"BALOCHISTAN","LORALAI","DUKI","DUKI","SUB-DIVISION","RURAL",23613,19203,13868,9745,8876,6392,2649,3,113,5580
