"","Region","Division","District","Households","Pop2023","AHS","Pop2017","GR"
"1","Punjab","Bahawalpur","Bahawalnagar",558333,3550342,6.36,2975656,3
"2","Punjab","Bahawalpur","Bahawalpur",674155,4284964,6.36,3669176,2.63
"3","Punjab","Bahawalpur","Rahim Yar Khan",827525,5564703,6.72,4807762,2.47
"4","Punjab","Dera Ghazi Khan","Dera Ghazi Khan",454711,3393705,7.46,2872631,2.83
"5","Punjab","Dera Ghazi Khan","Layyah",341276,2102386,6.16,1823995,2.4
"6","Punjab","Dera Ghazi Khan","Muzaffargarh",804783,5015325,6.23,4328549,2.49
"7","Punjab","Dera Ghazi Khan","Rajanpur",354271,2381049,6.72,1996039,2.99
"8","Punjab","Faisalabad","Chiniot",256660,1563024,6.09,1368659,2.24
"9","Punjab","Faisalabad","Faisalabad",1384668,9075819,6.55,7882444,2.38
"10","Punjab","Faisalabad","Jhang",494761,3077720,6.22,2742633,1.95
"11","Punjab","Faisalabad","Toba Tek Singh",391861,2511963,6.41,2191495,2.31
"12","Punjab","Gujranwala","Gujranwala",849524,5959750,7.02,5011066,2.94
"13","Punjab","Gujranwala","Gujrat",489589,3219375,6.58,2756289,2.63
"14","Punjab","Gujranwala","Hafizabad",197277,1319909,6.69,1156954,2.23
"15","Punjab","Gujranwala","Mandi Bahauddin",286168,1829486,6.39,1594039,2.33
"16","Punjab","Gujranwala","Narowal",281628,1950954,6.93,1707575,2.25
"17","Punjab","Gujranwala","Sialkot",671589,4499394,6.7,3894938,2.44
"18","Punjab","Lahore","Kasur",645838,4084286,6.32,3454881,2.84
"19","Punjab","Lahore","Lahore",2012526,13004135,6.46,11119985,2.65
"20","Punjab","Lahore","Nankana Sahib",247121,1634871,6.62,1354986,3.19
"21","Punjab","Lahore","Sheikhupura",593506,4049418,6.82,3460004,2.66
"22","Punjab","Multan","Khanewal",526609,3364077,6.39,2920233,2.39
"23","Punjab","Multan","Lodhran",324020,1928299,5.95,1699693,2.13
"24","Punjab","Multan","Multan",887304,5362305,6.04,4746166,2.06
"25","Punjab","Multan","Vehari",543384,3430421,6.31,2902081,2.83
"26","Punjab","Rawalpindi","Attock",354235,2170423,6.13,1886378,2.37
"27","Punjab","Rawalpindi","Chakwal",288997,1734854,6,1495463,2.51
"28","Punjab","Rawalpindi","Jhelum",229227,1382308,6.03,1222403,2.08
"29","Punjab","Rawalpindi","Rawalpindi",999347,6118911,6.12,5402380,2.1
"30","Punjab","Sahiwal","Okara",550057,3515490,6.39,3040826,2.45
"31","Punjab","Sahiwal","Pakpattan",344744,2136170,6.2,1824228,2.67
"32","Punjab","Sahiwal","Sahiwal",446787,2881811,6.45,2513011,2.31
"33","Punjab","Sargodha","Bhakkar",313559,1957470,6.24,1647852,2.92
"34","Punjab","Sargodha","Khushab",248449,1501089,6.04,1280372,2.69
"35","Punjab","Sargodha","Mianwali",296614,1798268,6.06,1542601,2.6
"36","Punjab","Sargodha","Sargodha",684799,4334448,6.33,3696212,2.7
"37","Sindh","Hyderabad","Badin",398066,1947081,4.89,1804958,1.27
"38","Sindh","Hyderabad","Dadu",340665,1742320,5.11,1550390,1.97
"39","Sindh","Hyderabad","Hyderabad",448479,2432540,5.42,2199928,1.69
"40","Sindh","Hyderabad","Jamshoro",213639,1117308,5.23,993908,1.98
"41","Sindh","Hyderabad","Matiari",158559,849383,5.36,770040,1.65
"42","Sindh","Hyderabad","Sujawal",158917,839292,5.28,779062,1.25
"43","Sindh","Hyderabad","Tando Allahyar",177534,922012,5.19,838527,1.6
"44","Sindh","Hyderabad","Tando Muhammad Khan",143956,726119,5.04,677098,1.18
"45","Sindh","Hyderabad","Thatta",206281,1083191,5.25,982138,1.65
"46","Sindh","Karachi","Karachi Central",652776,3822325,5.86,2971382,4.3
"47","Sindh","Karachi","Karachi East",665452,3950031,5.94,2875315,5.45
"48","Sindh","Karachi","Karachi South",426224,2329764,5.47,1769230,4.71
"49","Sindh","Karachi","Karachi West",465197,2679380,5.76,2077228,4.35
"50","Sindh","Karachi","Keamari",319555,2068451,6.47,1829837,2.07
"51","Sindh","Karachi","Korangi",493504,3128971,6.34,2577556,3.29
"52","Sindh","Karachi","Malir",416512,2403959,5.77,1924346,3.79
