District,Metric,Status
Bahawalnagar,Literacy_Flag,âœ“
Bahawalnagar,Attendance_Flag,âœ“
Bahawalnagar,Energy_Flag_Elec,âœ“
Bahawalnagar,San_Flag,âœ“
Bahawalnagar,Wtr_Flag,âœ“
Bahawalpur,Literacy_Flag,âœ“
Bahawalpur,Attendance_Flag,âœ“
Bahawalpur,Energy_Flag_Elec,âœ“
Bahawalpur,San_Flag,âœ“
Bahawalpur,Wtr_Flag,âœ“
Rahim Yar Khan,Literacy_Flag,âœ“
Rahim Yar Khan,Attendance_Flag,âœ“
Rahim Yar Khan,Energy_Flag_Elec,âœ“
Rahim Yar Khan,San_Flag,âœ“
Rahim Yar Khan,Wtr_Flag,âœ“
Dera Ghazi Khan,Literacy_Flag,âœ“
Dera Ghazi Khan,Attendance_Flag,âœ“
Dera Ghazi Khan,Energy_Flag_Elec,âœ“
Dera Ghazi Khan,San_Flag,âœ“
Dera Ghazi Khan,Wtr_Flag,âœ“
Layyah,Literacy_Flag,âœ“
Layyah,Attendance_Flag,âœ“
Layyah,Energy_Flag_Elec,âœ“
Layyah,San_Flag,âœ“
Layyah,Wtr_Flag,âœ“
Muzaffargarh,Literacy_Flag,âœ“
Muzaffargarh,Attendance_Flag,âœ“
Muzaffargarh,Energy_Flag_Elec,âœ“
Muzaffargarh,San_Flag,âœ“
Muzaffargarh,Wtr_Flag,âœ“
Rajanpur,Literacy_Flag,âœ“
Rajanpur,Attendance_Flag,âœ“
Rajanpur,Energy_Flag_Elec,âœ“
Rajanpur,San_Flag,âœ“
Rajanpur,Wtr_Flag,âœ“
Chiniot,Literacy_Flag,âœ“
Chiniot,Attendance_Flag,âœ“
Chiniot,Energy_Flag_Elec,âœ“
Chiniot,San_Flag,âœ“
Chiniot,Wtr_Flag,âœ“
Faisalabad,Literacy_Flag,âœ“
Faisalabad,Attendance_Flag,âœ“
Faisalabad,Energy_Flag_Elec,âœ“
Faisalabad,San_Flag,âœ“
Faisalabad,Wtr_Flag,âœ“
Jhang,Literacy_Flag,âœ“
Jhang,Attendance_Flag,âœ“
Jhang,Energy_Flag_Elec,âœ“
Jhang,San_Flag,âœ“
Jhang,Wtr_Flag,âœ“
Toba Tek Singh,Literacy_Flag,âœ“
Toba Tek Singh,Attendance_Flag,âœ“
Toba Tek Singh,Energy_Flag_Elec,âœ“
Toba Tek Singh,San_Flag,âœ“
Toba Tek Singh,Wtr_Flag,âœ“
Gujranwala,Literacy_Flag,âœ“
Gujranwala,Attendance_Flag,âœ“
Gujranwala,Energy_Flag_Elec,âœ“
Gujranwala,San_Flag,âœ“
Gujranwala,Wtr_Flag,âœ“
Gujrat,Literacy_Flag,âœ“
Gujrat,Attendance_Flag,âœ“
Gujrat,Energy_Flag_Elec,âœ“
Gujrat,San_Flag,âœ“
Gujrat,Wtr_Flag,âœ“
Hafizabad,Literacy_Flag,âœ“
Hafizabad,Attendance_Flag,âœ“
Hafizabad,Energy_Flag_Elec,âœ“
Hafizabad,San_Flag,âœ“
Hafizabad,Wtr_Flag,âœ“
