Province,Division,District,Households,Pop2023,AHS,Pop2017,GR,DistrictKey,Disab_Communication,Disab_Disability,Disab_Functional_limitation,Disab_Hearing,Disab_Memorization_Focus,Disab_Population,Disab_Seeing,Disab_Self_care_etc,Disab_Walking_Climbing,Lang_BALOCHI,Lang_BALTI,Lang_BRAHVI,Lang_HINDKO,Lang_KALASHA,Lang_KASHMIRI,Lang_KOHIOSTANI,Lang_MEWATI,Lang_OTHERS,Lang_PUNJABI,Lang_PUSHTO,Lang_SARAIKI,Lang_SHINA,Lang_SINDHI,Lang_TOTAL,Lang_URDU,EverAttended,Lit_GE10,OutOfSchool_5_16,Pop_GE10,Pop_GE5,Literacy_01,Literacy_Flag,Attendance_01,Attendance_Flag,Energy_HOUSEHOLDS,Energy_LIGHT_ELECT,Energy_LIGHT_SOLAR,Energy_LIGHT_OTHERS,Energy_FUEL_GAS,Energy_FUEL_LPGCNG,Energy_FUEL_FIREWOOD,Energy_FUEL_OTHERS,Energy_SEP_KITCHEN,Energy_NO_KITCHEN,Energy_Access_Electricity,Energy_Flag_Elec,San_HOUSEHOLDS,San_TOILET_SEPARATE,San_TOILET_FLUSH,San_TOILET_NON_FLUSH,San_TOILET_NONE,San_WASHROOM_SEPARATE,San_WASHROOM_NONE,San_Access_SanitaryToilet,San_Flag,Wtr_HOUSEHOLDS,Wtr_DRINK_WTR_IMPROVE,Wtr_DRINK_WTR_INSIDE,Wtr_DRINK_WTR_OUTSIDE,Wtr_DRINK_WTR_TAP,Wtr_DRINK_WTR_MOTOR,Wtr_DRINK_WTR_WELL,Wtr_DRINK_WTR_FILTER,Wtr_DRINK_WTR_BOTTLE,Wtr_DRINK_WTR_OTHER,Wtr_Access_ImprovedDrink,Wtr_Flag,Age_TotalPop,Age_Male,Age_Female,Age_Trans,Age_Rural,Age_Urban,Marital_DIVORCED,Marital_MARRIED,Marital_NEVER_MARRIED,Marital_SEPERATION,Marital_WIDOWED
Punjab,Bahawalpur,Bahawalnagar,558333,3550342,6.36,2975656,3,BAHAWALNAGAR,42506,148459,341006,66741,52563,3544911,61733,38923,116775,708,12,71,958,2,57,1,2592,9488,3334877,10959,61735,0,4668,3544911,118783,1768286,1466956,344881,2572990,3052233,0.5701366892214894,âœ“,0.579341747500928,âœ“,557616,517983,8001,31632,44591,27864,430980,54181,248668,276342,0.928924205905139,âœ“,557616,387669,446194,13973,97449,379252,109914,0.8001814869013801,âœ“,557616,518200,384349,173267,234753,242705,3664,33681,1752,41061,0.9293133626007862,âœ“,3544911,1842888,1701653,370,2571296,973615,12734,1398027,616907,5137,89738
Punjab,Bahawalpur,Bahawalpur,674155,4284964,6.36,3669176,2.63,BAHAWALPUR,45760,157181,356787,71063,57082,4264457,64455,41482,119861,3420,193,356,23805,3,1630,36,19477,29132,1031590,21320,2894315,205,5627,4264457,233348,1934371,1618280,487764,3033056,3616066,0.5335476826013104,âœ“,0.5349379684994687,âœ“,673437,627125,8758,37554,146615,23061,486539,17222,339256,279098,0.9312303897766236,âœ“,673437,479787,568888,13411,91138,432574,152181,0.8447531097934922,âœ“,673437,652974,523870,149567,179711,417270,3708,50679,1452,20617,0.9696140841682296,âœ“,4264457,2165158,2098830,469,2662487,1601970,10331,1692658,711516,4714,101526
Punjab,Bahawalpur,Rahim Yar Khan,827525,5564703,6.72,4807762,2.47,RAHIM YAR KHAN,69838,210132,655839,133289,96385,5561720,117603,76223,207079,90533,100,1131,76789,61,1469,202,2678,95719,1330624,46868,3610719,725,141327,5561720,162775,2247306,1858774,781930,3877479,4677514,0.4793769353747629,âœ“,0.48044880250492034,âœ“,826942,747815,17929,61198,168406,16572,607097,34867,369736,383485,0.9043137245417454,âœ“,826942,563119,685407,23874,117661,482604,224088,0.8288453120049531,âœ“,826942,804941,570895,256047,282198,420731,2707,76089,6612,38605,0.9733947483620374,âœ“,5561720,2895390,2665779,551,4221634,1340086,9315,2181134,880360,4530,126414
Punjab,Dera Ghazi Khan,Dera Ghazi Khan,454711,3393705,7.46,2872631,2.83,DERA GHAZI KHAN,34379,117462,303568,59761,45391,3386575,53466,35635,98353,505950,3,22,492,2,1121,0,30,549,12438,21261,2761721,5,1699,3386575,81282,1284821,1045814,514965,2235453,2762926,0.4678309049664654,âœ“,0.4650218645016189,âœ“,454464,366969,45273,42222,54723,13681,369099,16961,192504,198997,0.8074764997887621,âœ“,454464,245677,319937,15841,118686,223931,150492,0.7039875545697789,âœ“,454464,414669,289171,165293,162258,186834,8818,47315,891,48348,0.9124353084072666,âœ“,3386575,1709510,1676944,121,2581903,804672,2792,1300268,448282,1650,50764
Punjab,Dera Ghazi Khan,Layyah,341276,2102386,6.16,1823995,2.4,LAYYAH,26623,91499,224275,44107,34661,2102361,40833,25646,75184,1810,427,20,1282,1,449,1,1725,3904,579622,47448,1406363,12,1391,2102361,57906,1128983,926057,145207,1497639,1771519,0.6183446077459254,âœ“,0.6372965799407175,âœ“,341131,291515,20351,29265,20429,14967,297374,8361,172238,120818,0.8545544087168859,âœ“,341131,224076,294042,6382,40707,202593,71764,0.8619621201239407,âœ“,341131,336363,319746,21385,94001,237158,623,1260,197,7892,0.9860229647847896,âœ“,2102361,1082910,1019362,89,1716092,386269,3347,836661,358245,1506,43115
Punjab,Dera Ghazi Khan,Muzaffargarh,804783,5015325,6.23,4328549,2.49,MUZAFFARGARH,58381,178440,541984,110632,81224,5012124,97206,62487,173505,14333,93,16,1129,2,1610,11,843,5948,260641,46187,4479408,15,1921,5012124,199967,1973302,1628943,710633,3394476,4138313,0.4798805471006423,âœ“,0.47683730061017615,âœ“,804438,732759,16639,55040,87216,9737,670147,37338,328854,367237,0.9108955568981076,âœ“,804438,445353,611886,22621,169931,373556,279394,0.7606378614635311,âœ“,804438,796037,756301,48137,364351,416951,1203,11603,315,10015,0.9895566842938796,âœ“,5012124,2545343,2466672,109,4066845,945279,6853,1920249,718615,4670,94336
Punjab,Dera Ghazi Khan,Rajanpur,354271,2381049,6.72,1996039,2.99,RAJANPUR,22278,83988,188715,35486,28487,2323980,33867,22074,63606,413077,7,22,548,0,726,0,1399,1769,53062,8795,1781906,0,2102,2323980,60567,684283,543915,442819,1507085,1891721,0.3609053238536646,âœ“,0.3617251169702086,âœ“,354016,203209,40353,110454,3916,17766,310933,21401,121842,173520,0.5740107791738227,âœ“,354016,139514,204808,15995,133213,127468,154875,0.5785275241796981,âœ“,354016,317781,271338,82678,143624,167535,5176,1741,2384,33556,0.8976458691132604,âœ“,2323980,1181789,1142073,118,1694281,629699,1630,853788,310825,1611,35961
Punjab,Faisalabad,Chiniot,256660,1563024,6.09,1368659,2.24,CHINIOT,18420,59679,145424,28623,22410,1563024,26354,16290,49434,191,10,0,56,0,954,321,6,506,1486135,17751,1629,24,2217,1563024,53224,778505,630806,128830,1145954,1346961,0.5504636311754224,âœ“,0.5779714483195876,âœ“,256438,241660,3841,10937,63177,5561,166475,21225,128318,97811,0.9423720353457756,âœ“,256438,141472,176596,5486,74356,142938,73285,0.6886498880821095,âœ“,256438,252125,224924,31514,48468,188925,528,13736,251,4530,0.9831811198028372,âœ“,1563024,790731,772126,167,1071352,491672,9951,627064,263771,4742,54274
Punjab,Faisalabad,Faisalabad,1384668,9075819,6.55,7882444,2.38,FAISALABAD,99388,325590,838113,165256,125225,9065306,145838,99381,272316,1394,178,57,1220,3,910,99,211,1365,8533486,58115,41536,72,19316,9065306,407344,5820738,5040010,479098,6865192,7899874,0.7341397006813503,âœ“,0.7368140301984564,âœ“,1382773,1353922,10873,17978,783910,70664,493228,34971,955287,289676,0.9791354040034048,âœ“,1382773,1133041,1287363,22274,73136,1114732,93347,0.931000966897676,âœ“,1382773,1286143,464914,917859,282845,506618,3627,303495,69612,216576,0.9301186818082215,âœ“,9065306,4726182,4338162,962,4682740,4382566,30738,3690452,1855968,11732,269515
Punjab,Faisalabad,Jhang,494761,3077720,6.22,2742633,1.95,JHANG,43990,132964,394147,80590,59521,3065639,71938,45056,125819,752,3,32,1743,0,5105,20,9662,2514,2861278,15435,19333,5,5289,3065639,144468,1601136,1324823,245763,2228470,2633635,0.5944989162968315,âœ“,0.6079566834432258,âœ“,491999,454810,8880,28309,82034,11276,375435,23254,257744,172470,0.9244124479927804,âœ“,491999,302264,377014,12683,102302,295593,112479,0.7662901753865353,âœ“,491999,486121,454573,37426,114792,352510,1029,17210,671,5787,0.9880528212455716,âœ“,3065639,1585616,1479771,252,2264713,800926,11497,1241399,513995,4977,88214
Punjab,Faisalabad,Toba Tek Singh,391861,2511963,6.41,2191495,2.31,TOBA TEK SINGH,33434,101291,307480,62160,45849,2524044,56199,35103,98032,475,9,7,2445,1,110,0,9283,525,2428237,10675,3836,2,5756,2524044,62683,1581424,1358123,142390,1902553,2200639,0.7138424001854351,âœ“,0.718620364357807,âœ“,393896,380659,3581,9656,148949,9287,225954,9706,251337,109898,0.9663946828604504,âœ“,393896,315411,353149,11178,29569,310235,36464,0.896553912707923,âœ“,393896,379724,264396,129500,132324,205122,1652,32301,3870,18627,0.9640209598472692,âœ“,2524044,1295646,1228162,236,1960519,563525,8575,1044941,484848,2403,76386
Punjab,Gujranwala,Gujranwala,849524,5959750,7.02,5011066,2.94,GUJRANWALA,72789,176017,731556,156409,105868,5940173,131543,85555,217305,2089,97,17,1730,16,14716,196,1468,1211,5483918,46040,5323,103,14367,5940173,368882,3827867,3336551,321967,4345898,5016623,0.7677471951711706,âœ“,0.7630366084914094,âœ“,849177,836739,7562,4876,630436,54382,111372,52987,652421,105540,0.9853528769620468,âœ“,849177,726387,821732,14446,12999,721187,19336,0.967680471797988,âœ“,849177,841395,658143,191034,96320,656222,2284,86031,261,8059,0.9908358328122404,âœ“,5940173,3018895,2920741,537,2365418,3574755,12443,2308399,1194627,4190,140183
Punjab,Gujranwala,Gujrat,489589,3219375,6.58,2756289,2.63,GUJRAT,46676,118220,441618,91727,64665,3216000,84237,48964,138353,971,187,25,1857,14,2329,1243,66,2366,3005893,69402,9445,369,9877,3216000,111956,2322721,2032866,118204,2498174,2837143,0.8137407562483638,âœ“,0.8186830907007507,âœ“,489337,482109,3983,3245,246658,97699,135002,9978,417827,35943,0.985228993515716,âœ“,489337,431408,468668,6631,14038,427152,19575,0.9577612156857136,âœ“,489337,484430,329488,159849,63421,378254,1630,40263,485,5284,0.9899721459852822,âœ“,3216000,1606601,1609209,190,1892820,1323180,14412,1370053,651117,3223,109104
Punjab,Gujranwala,Hafizabad,197277,1319909,6.69,1156954,2.23,HAFIZABAD,16324,40672,155147,32212,22860,1319651,29089,17281,48312,74,3,0,136,0,3113,85,200,382,1263482,7956,423,8,2128,1319651,41661,754398,650199,78767,988643,1141590,0.6576681370322756,âœ“,0.6608309463117231,âœ“,197206,193493,1568,2145,145717,1870,43220,6399,131554,49145,0.9811719724551992,âœ“,197206,157913,176929,3324,16953,155001,20323,0.8971785848300762,âœ“,197206,186823,142983,54223,52401,118667,383,11376,191,14188,0.9473494721255944,âœ“,1319651,669900,649691,60,815517,504134,4473,537960,254988,1727,36030
