"PROVINCE","DIVISION","DISTRICT","TEHSIL","ADMIN_UNIT","SEX_AGE_GROUP_IN_YEARS","ALL_SEXES_OVERALL","MALE_OVERALL","FEMALE_OVERALL","TRANSGENDER_OVERALL","ALL_SEXES_RURAL","MALE_RURAL","FEMALE_RURAL","TRANSGENDER_RURAL","ALL_SEXES_URBAN","MALE_URBAN","FEMALE_URBAN","TRANSGENDER_URBAN","AGE_GROUP_IN_YEARS"
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","ALL AGES",45774,23188,22582,4,16994,8513,8481,NA,28780,14675,14101,4,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","UNDER 1",1211,654,557,NA,380,206,174,NA,831,448,383,NA,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","UNDER 5",9025,4769,4256,NA,3287,1706,1581,NA,5738,3063,2675,NA,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","UNDER 10",17579,9114,8465,NA,6610,3348,3262,NA,10969,5766,5203,NA,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","UNDER 15",24109,12344,11763,2,9098,4572,4526,NA,15011,7772,7237,2,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","05 - 24",22604,11324,11276,4,8576,4216,4360,NA,14028,7108,6916,4,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","15 - 49",18234,8997,9235,2,6630,3243,3387,NA,11604,5754,5848,2,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","15 - 64",20631,10276,10353,2,7518,3729,3789,NA,13113,6547,6564,2,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","18 - 60",17334,8619,8715,NA,6335,3136,3199,NA,10999,5483,5516,NA,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","18 &  ABOVE",18752,9407,9345,NA,6853,3425,3428,NA,11899,5982,5917,NA,NA
